rpt_dt,boro_nm,boro_num,ncic,ct_m,vic_num
2018,3,BRONX,1301,2,1
2019,3,BRONX,1301,2,1
2021,3,BRONX,1301,2,6
2022,3,BRONX,1301,2,65
2023,3,BRONX,1301,2,5718
1993,3,BRONX,1313,1,1
2012,3,BRONX,1313,1,1
2013,3,BRONX,1313,1,1
2016,3,BRONX,1313,1,1
2019,3,BRONX,1313,1,1
2020,3,BRONX,1313,1,3
2021,3,BRONX,1313,1,4
2022,3,BRONX,1313,1,166
2023,3,BRONX,1313,1,7706
1995,4,QUEENS,1101,2,1
2000,4,QUEENS,1101,2,1
2001,4,QUEENS,1101,2,1
2002,4,QUEENS,1101,2,1
2003,4,QUEENS,1101,2,1
2004,4,QUEENS,1101,2,2
2007,4,QUEENS,1101,2,2
2008,4,QUEENS,1101,2,3
2010,4,QUEENS,1101,2,1
2011,4,QUEENS,1101,2,5
2012,4,QUEENS,1101,2,4
2013,4,QUEENS,1101,2,8
2014,4,QUEENS,1101,2,9
2015,4,QUEENS,1101,2,13
2016,4,QUEENS,1101,2,9
2017,4,QUEENS,1101,2,15
2018,4,QUEENS,1101,2,11
2019,4,QUEENS,1101,2,13
2020,4,QUEENS,1101,2,13
2021,4,QUEENS,1101,2,27
2022,4,QUEENS,1101,2,92
2023,4,QUEENS,1101,2,863
2003,4,QUEENS,1201,2,1
2004,4,QUEENS,1201,2,1
2007,4,QUEENS,1201,2,1
2012,4,QUEENS,1201,2,1
2013,4,QUEENS,1201,2,2
2015,4,QUEENS,1201,2,1
2018,4,QUEENS,1201,2,1
2019,4,QUEENS,1201,2,3
2020,4,QUEENS,1201,2,15
2021,4,QUEENS,1201,2,36
2022,4,QUEENS,1201,2,422
2023,4,QUEENS,1201,2,5934
2003,4,QUEENS,1301,2,1
2013,4,QUEENS,1301,2,1
2017,4,QUEENS,1301,2,1
2018,4,QUEENS,1301,2,1
2019,4,QUEENS,1301,2,1
2021,4,QUEENS,1301,2,4
2022,4,QUEENS,1301,2,71
2023,4,QUEENS,1301,2,4169
1993,4,QUEENS,1313,1,1
2000,4,QUEENS,1313,1,1
2015,4,QUEENS,1313,1,1
2017,4,QUEENS,1313,1,2
2018,4,QUEENS,1313,1,2
2019,4,QUEENS,1313,1,2
2020,4,QUEENS,1313,1,7
2021,4,QUEENS,1313,1,11
2022,4,QUEENS,1313,1,180
2023,4,QUEENS,1313,1,6341
2003,5,STATEN ISLAND,1101,2,1
2005,5,STATEN ISLAND,1101,2,1
2006,5,STATEN ISLAND,1101,2,1
2010,5,STATEN ISLAND,1101,2,2
2013,5,STATEN ISLAND,1101,2,1
2018,5,STATEN ISLAND,1101,2,4
2019,5,STATEN ISLAND,1101,2,2
2021,5,STATEN ISLAND,1101,2,1
2022,5,STATEN ISLAND,1101,2,13
2023,5,STATEN ISLAND,1101,2,113
2019,5,STATEN ISLAND,1201,2,1
2020,5,STATEN ISLAND,1201,2,2
2021,5,STATEN ISLAND,1201,2,10
2022,5,STATEN ISLAND,1201,2,86
2023,5,STATEN ISLAND,1201,2,1034
2020,5,STATEN ISLAND,1301,2,2
2022,5,STATEN ISLAND,1301,2,5
2023,5,STATEN ISLAND,1301,2,878
2020,5,STATEN ISLAND,1313,1,1
2021,5,STATEN ISLAND,1313,1,3
2022,5,STATEN ISLAND,1313,1,58
2023,5,STATEN ISLAND,1313,1,1940
